m χ̃ [GeV], xsec [fb], uncertainty [fb]
80.0,       8039.52,   334.653
100.0,      3277.01,   120.646
150.0,      715.14,    30.1429
200.0,      244.213,   11.7039
250.0,      104.252,   5.48542
300.0,      50.9994,   2.92105
350.0,      27.3286,   1.66094
400.0,      15.6691,   1.00609
450.0,      9.44017,   0.636781
500.0,      5.90757,   0.413476
550.0,      3.8167,    0.275884
600.0,      2.53015,   0.190847
650.0,      1.71418,   0.132968
700.0,      1.18113,   0.0940638
750.0,      0.826366,  0.067662
800.0,      0.586211,  0.0505623
850.0,      0.420556,  0.0360593
900.0,      0.305935,  0.0279147
950.0,      0.22285,   0.0204919
1000.0,     0.16428,   0.015677
1050.0,     0.121865,  0.0117916
1100.0,     0.0912469, 0.0087975
1150.0,     0.0684561, 0.00709167
1200.0,     0.0516263, 0.00529162
1250.0,     0.0391587, 0.00410133
1300.0,     0.0299353, 0.00322793
1350.0,     0.0228072, 0.00249572
1400.0,     0.0175031, 0.00195389
1450.0,     0.0134572, 0.0014916
