m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       8107.47,   -3.2,           -3.0,         0.6,            3.3
100.0,      3252.6,    -1.2,           -3.0,         0.0,         3.3
150.0,      712.53,    -0.6,           -3.2,         0.0,         3.3
200.0,      244.01,    -0.5,           -3.4,         0.2,         3.5
250.0,      104.35,    -0.5,           -3.6,         0.3,         3.7
300.0,      51.102,    -0.5,           -3.9,         0.5,         3.9
350.0,      27.419,    -0.4,           -4.0,         0.5,         4.1
400.0,      15.719,    -0.4,           -4.2,         0.3,         4.4
450.0,      9.4677,    -0.4,           -4.5,         0.3,         4.6
500.0,      5.927,     -0.3,           -4.6,         0.1,         4.8
550.0,      3.8269,    -0.2,           -4.6,         0.0,         5.2
600.0,      2.5338,    -0.2,           -4.7,         0.1,         5.7
650.0,      1.7168,    -0.2,           -4.9,         0.0,         5.8
700.0,      1.1818,    -0.4,           -4.9,         0.0,         6.2
750.0,      0.82489,   -0.7,           -4.9,         0.0,         6.8
800.0,      0.58405,   -0.5,           -5.7,         0.0,         7.0
850.0,      0.41821,   -0.9,           -5.7,         0.1,         7.2
900.0,      0.30251,   -0.5,           -6.2,         0.3,         8.3
950.0,      0.22075,   -1.3,           -5.7,         0.4,         8.5
1000.0,     0.16227,   -1.0,           -6.0,         0.4,         9.1
1050.0,     0.12007,   -1.1,           -6.3,         0.5,         9.4
1100.0,     0.08934,   -1.1,           -6.6,         0.4,         10.0
1150.0,     0.066901,  -1.1,           -7.1,         0.4,         10.8
1200.0,     0.05028,   -1.4,           -7.3,         0.8,         11.0
1250.0,     0.037973,  -1.5,           -7.7,         0.8,         11.6
1300.0,     0.028847,  -1.8,           -9.2,         0.4,         11.8
1350.0,     0.021991,  -1.8,           -9.1,         0.3,         12.0
1400.0,     0.016685,  -1.5,           -9.1,         1.6,         13.9
1450.0,     0.012766,  -1.3,           -8.9,         1.6,         14.6
