m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       5077.7,    -2.8,           -3.5,         0.5,            3.3
100.0,      2026.8,    -1.1,           -3.5,         0.3,            3.4
125.0,      870.57,    -0.5,           -3.6,         0.1,            3.7
150.0,      437.89,    -0.5,           -3.8,         0.0,            3.9
175.0,      243.91,    -0.6,           -4.0,         0.3,            4.2
200.0,      146.02,    -0.7,           -4.3,         0.4,            4.5
225.0,      92.26,     -0.7,           -4.5,         0.4,            4.8
250.0,      60.75,     -0.7,           -4.8,         0.5,            5.1
275.0,      41.34,     -0.6,           -5.0,         0.7,            5.4
300.0,      28.92,     -0.5,           -5.3,         0.8,            5.8
325.0,      20.71,     -0.5,           -5.5,         1.0,            6.1
350.0,      15.12,     -0.5,           -5.7,         1.1,            6.5
375.0,      11.23,     -0.6,           -6.1,         1.2,            6.8
400.0,      8.47,      -0.6,           -6.3,         1.2,            7.2
425.0,      6.46,      -0.6,           -6.5,         1.2,            7.4
450.0,      4.99,      -0.5,           -6.6,         1.3,            8.0
475.0,      3.89,      -0.5,           -7.0,         1.3,            8.2
500.0,      3.06,      -0.7,           -7.3,         1.1,            8.5
525.0,      2.43,      -0.7,           -7.5,         1.3,            9.0
550.0,      1.94,      -0.7,           -7.8,         1.3,            9.2
575.0,      1.56,      -0.7,           -8.4,         1.2,            9.2
600.0,      1.27,      -0.6,           -8.3,         1.2,            9.7
625.0,      1.03,      -0.6,           -8.5,         1.2,            10.2
650.0,      0.84,      -0.9,           -9.0,         1.1,            10.5
675.0,      0.7,       -1.3,           -9.4,         1.0,            10.4
700.0,      0.57,      -1.2,           -9.2,         1.1,            11.2
725.0,      0.48,      -1.2,           -9.5,         0.9,            11.4
750.0,      0.4,       -0.9,           -10.0,        0.7,            11.6
775.0,      0.33,      -0.9,           -10.6,        0.5,            11.5
800.0,      0.28,      -1.0,           -10.9,        0.6,            11.8
825.0,      0.23,      -1.0,           -11.0,        1.0,            12.0
850.0,      0.2,       -0.9,           -11.6,        0.7,            12.2
875.0,      0.17,      -0.8,           -12.1,        1.1,            12.3
900.0,      0.14,      -1.3,           -12.4,        0.7,            12.6
925.0,      0.12,      -1.2,           -12.3,        0.9,            13.4
950.0,      0.1,       -0.9,           -11.7,        1.4,            15.4
975.0,      0.09,      -1.4,           -12.9,        1.0,            14.1
1000.0,     0.07,      -1.1,           -13.5,        0.7,            14.0
1025.0,     0.06,      -1.1,           -13.7,        0.7,            14.3
1050.0,     0.06,      -1.1,           -14.0,        0.7,            14.0
1075.0,     0.05,      -1.4,           -11.8,        1.7,            17.7
1100.0,     0.04,      -1.4,           -14.5,        0.9,            14.8
1125.0,     0.04,      -0.9,           -14.8,        1.0,            15.6
1150.0,     0.03,      -1.2,           -15.5,        1.0,            15.4
1175.0,     0.03,      -1.1,           -15.8,        1.1,            16.4
1200.0,     0.02,      -1.0,           -16.5,        1.1,            16.5
1225.0,     0.02,      -1.2,           -16.2,        1.0,            17.3
1250.0,     0.02,      -1.3,           -16.7,        0.7,            17.7
1275.0,     0.02,      -0.8,           -16.9,        1.0,            18.4
1300.0,     0.01,      -0.7,           -16.5,        1.2,            20.0
1325.0,     0.01,      -0.7,           -17.0,        1.1,            20.2
