m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       13006.3,   -2.9,           -3.3,         0.62,           3.2
100.0,      5320.7,    -1.1,           -3.3,         0.49,           3.2
125.0,      2348.3,    -0.56,          -3.4,         0.29,           3.4
150.0,      1209.9,    -0.5,           -3.6,         0.13,           3.5
175.0,      688.92,    -0.6,           -3.7,         0.24,           3.7
200.0,      420.98,    -0.63,          -4.0,         0.4,            3.9
225.0,      271.11,    -0.63,          -4.2,         0.53,           4.1
250.0,      181.86,    -0.63,          -4.4,         0.63,           4.3
275.0,      126.01,    -0.53,          -4.6,         0.77,           4.5
300.0,      89.68,     -0.43,          -4.8,         0.87,           4.7
325.0,      65.27,     -0.43,          -5.0,         0.93,           4.9
350.0,      48.42,     -0.36,          -5.2,         1.0,            5.1
375.0,      36.51,     -0.39,          -5.5,         1.1,            5.3
400.0,      27.93,     -0.39,          -5.7,         1.1,            5.5
425.0,      21.62,     -0.46,          -5.9,         1.2,            5.6
450.0,      16.92,     -0.36,          -6.0,         1.3,            5.9
475.0,      13.37,     -0.36,          -6.3,         1.3,            6.1
500.0,      10.66,     -0.56,          -6.5,         1.2,            6.3
525.0,      8.57,      -0.56,          -6.7,         1.2,            6.5
550.0,      6.93,      -0.63,          -6.9,         1.3,            6.6
575.0,      5.64,      -0.56,          -7.2,         1.1,            6.7
600.0,      4.62,      -0.53,          -7.3,         1.1,            6.9
625.0,      3.8,       -0.6,           -7.6,         1.2,            7.1
650.0,      3.14,      -0.61,          -7.6,         1.2,            7.4
675.0,      2.62,      -0.79,          -7.9,         1.3,            7.5
700.0,      2.17,      -0.76,          -7.8,         1.2,            8.0
725.0,      1.83,      -0.83,          -8.3,         1.0,            7.9
750.0,      1.54,      -0.83,          -8.4,         0.92,           8.2
775.0,      1.29,      -0.83,          -8.7,         0.95,           8.2
800.0,      1.09,      -0.85,          -8.8,         0.97,           8.4
825.0,      0.92,      -0.85,          -9.1,         0.93,           8.5
850.0,      0.79,      -0.9,           -9.5,         0.85,           8.5
875.0,      0.67,      -0.87,          -10.0,        0.88,           8.6
900.0,      0.57,      -0.92,          -9.4,         1.1,            9.3
925.0,      0.49,      -0.9,           -9.7,         1.2,            9.3
950.0,      0.42,      -0.75,          -10.0,        0.87,           9.4
975.0,      0.36,      -1.0,           -11.0,        0.47,           8.9
1000.0,     0.3,       -1.0,           -10.0,        0.85,           10.0
1025.0,     0.26,      -1.0,           -10.0,        0.78,           10.0
1050.0,     0.23,      -1.0,           -10.0,        1.2,            11.0
1075.0,     0.2,       -0.95,          -11.0,        1.0,            11.0
1100.0,     0.17,      -1.1,           -12.0,        0.9,            10.0
1125.0,     0.15,      -1.0,           -12.0,        0.85,           11.0
1150.0,     0.13,      -0.97,          -12.0,        1.1,            11.0
1175.0,     0.11,      -1.0,           -11.0,        1.5,            14.0
1200.0,     0.09,      -1.0,           -12.0,        1.0,            12.0
1225.0,     0.08,      -1.0,           -12.0,        1.0,            12.0
1250.0,     0.08,      -1.1,           -13.0,        0.92,           13.0
1275.0,     0.07,      -1.4,           -13.0,        0.71,           13.0
1300.0,     0.05,      -1.1,           -13.0,        1.0,            13.0
1325.0,     0.05,      -1.1,           -13.0,        0.94,           14.0
1350.0,     0.03,      -1.2,           -12.0,        1.0,            12.0
1375.0,     0.03,      -1.4,           -12.0,        1.0,            12.0
1400.0,     0.02,      -1.3,           -12.0,        1.2,            13.0
1425.0,     0.02,      -1.4,           -13.0,        1.4,            13.0
1450.0,     0.02,      -1.4,           -13.0,        1.3,            14.0
1475.0,     0.02,      -1.5,           -14.0,        1.1,            14.0
1500.0,     0.01,      -0.4,           -13.0,        1.4,            14.0
