m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       5265.4,    -2.9,           -3.5,         0.5,            3.5
100.0,      2026.8,    -1.1,           -3.5,         0.3,            3.4
125.0,      870.57,    -0.5,           -3.6,         0.1,            3.6
150.0,      437.89,    -0.5,           -3.8,         0.0,            3.9
175.0,      243.91,    -0.6,           -4.0,         0.3,            4.1
200.0,      146.02,    -0.7,           -4.2,         0.4,            4.4
225.0,      92.26,     -0.7,           -4.5,         0.4,            4.7
250.0,      60.75,     -0.7,           -4.7,         0.5,            5.0
275.0,      41.34,     -0.6,           -4.9,         0.7,            5.4
300.0,      28.92,     -0.5,           -5.2,         0.8,            5.7
325.0,      20.71,     -0.5,           -5.4,         1.0,            6.0
350.0,      15.12,     -0.5,           -5.6,         1.1,            6.4
375.0,      11.23,     -0.6,           -5.9,         1.2,            6.7
400.0,      8.47,      -0.6,           -6.1,         1.2,            7.0
425.0,      6.46,      -0.6,           -6.4,         1.2,            7.3
450.0,      4.99,      -0.5,           -6.4,         1.3,            7.8
475.0,      3.89,      -0.5,           -6.8,         1.3,            8.1
500.0,      3.06,      -0.7,           -7.1,         1.1,            8.4
525.0,      2.43,      -0.7,           -7.2,         1.3,            8.8
550.0,      1.94,      -0.7,           -7.5,         1.3,            9.0
575.0,      1.56,      -0.7,           -8.0,         1.2,            9.0
600.0,      1.27,      -0.6,           -8.0,         1.2,            9.6
625.0,      1.03,      -0.6,           -8.2,         1.2,            10.0
650.0,      0.84,      -0.9,           -8.6,         1.1,            10.2
675.0,      0.7,       -1.3,           -9.0,         1.0,            10.2
700.0,      0.57,      -1.2,           -8.8,         1.1,            11.0
725.0,      0.48,      -1.2,           -9.0,         0.9,            11.2
750.0,      0.4,       -0.9,           -9.6,         0.7,            11.4
775.0,      0.33,      -0.9,           -10.1,        0.5,            11.3
800.0,      0.28,      -1.0,           -10.5,        0.6,            11.6
825.0,      0.23,      -1.0,           -10.5,        1.0,            11.8
850.0,      0.2,       -0.9,           -11.1,        0.7,            12.0
875.0,      0.17,      -0.8,           -11.6,        1.1,            12.1
900.0,      0.14,      -1.3,           -11.9,        0.7,            12.4
925.0,      0.12,      -1.2,           -11.7,        0.9,            13.2
950.0,      0.1,       -0.9,           -11.3,        1.4,            15.2
975.0,      0.09,      -1.4,           -12.3,        1.0,            13.9
1000.0,     0.07,      -1.1,           -12.9,        0.7,            13.8
1025.0,     0.06,      -1.1,           -13.2,        0.7,            14.1
1050.0,     0.06,      -1.1,           -13.5,        0.7,            13.8
1075.0,     0.05,      -1.4,           -11.3,        1.7,            17.4
1100.0,     0.04,      -1.4,           -13.9,        0.9,            14.8
1125.0,     0.04,      -0.9,           -14.2,        1.0,            15.6
1150.0,     0.03,      -1.2,           -15.0,        1.0,            15.3
1175.0,     0.03,      -1.1,           -15.2,        1.1,            16.3
1200.0,     0.02,      -1.0,           -15.9,        1.1,            16.4
1225.0,     0.02,      -1.2,           -15.6,        1.0,            17.2
1250.0,     0.02,      -1.3,           -16.1,        0.7,            17.6
1275.0,     0.02,      -0.8,           -16.2,        1.0,            18.3
1300.0,     0.01,      -0.7,           -15.9,        1.2,            19.9
1325.0,     0.01,      -0.7,           -16.3,        1.1,            20.1
