m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       7916.7,    -3.1,           -3.2,         0.8,            3.4
100.0,      3307.0,    -1.2,           -3.2,         0.6,            3.4
125.0,      1491.2,    -0.6,           -3.2,         0.4,            3.4
150.0,      782.64,    -0.5,           -3.3,         0.3,            3.5
175.0,      453.12,    -0.6,           -3.4,         0.2,            3.6
200.0,      281.08,    -0.6,           -3.4,         0.4,            3.8
225.0,      183.59,    -0.7,           -3.6,         0.6,            3.8
250.0,      124.74,    -0.6,           -3.6,         0.7,            4.0
275.0,      87.52,     -0.6,           -3.8,         0.8,            4.1
300.0,      63.01,     -0.5,           -3.9,         0.9,            4.2
325.0,      46.35,     -0.4,           -4.0,         1.0,            4.4
350.0,      34.72,     -0.3,           -4.1,         1.1,            4.5
375.0,      26.43,     -0.3,           -4.2,         1.2,            4.7
400.0,      20.4,      -0.4,           -4.3,         1.3,            4.9
425.0,      15.93,     -0.4,           -4.4,         1.3,            5.1
450.0,      12.57,     -0.3,           -4.5,         1.4,            5.2
475.0,      10.0,      -0.3,           -4.6,         1.3,            5.4
500.0,      8.03,      -0.4,           -4.7,         1.3,            5.6
525.0,      6.49,      -0.4,           -4.6,         1.4,            5.9
550.0,      5.29,      -0.5,           -4.8,         1.3,            6.0
575.0,      4.33,      -0.6,           -5.0,         1.3,            6.1
600.0,      3.57,      -0.6,           -5.1,         1.3,            6.3
625.0,      2.95,      -0.8,           -5.1,         1.0,            6.5
650.0,      2.45,      -0.8,           -5.3,         0.9,            6.7
675.0,      2.05,      -0.8,           -5.3,         0.9,            6.8
700.0,      1.71,      -0.7,           -5.3,         1.2,            7.2
725.0,      1.44,      -0.7,           -5.9,         1.0,            7.0
750.0,      1.21,      -0.7,           -5.4,         1.3,            7.8
775.0,      1.02,      -0.8,           -5.6,         1.2,            7.9
800.0,      0.87,      -0.7,           -5.8,         1.1,            8.2
825.0,      0.73,      -0.7,           -5.8,         1.1,            8.4
850.0,      0.63,      -0.8,           -6.1,         1.1,            8.4
875.0,      0.53,      -0.8,           -6.1,         0.9,            8.7
900.0,      0.46,      -0.6,           -6.1,         1.0,            8.7
925.0,      0.39,      -0.9,           -6.7,         0.8,            8.8
950.0,      0.34,      -1.1,           -6.9,         0.8,            8.9
975.0,      0.29,      -1.4,           -7.1,         0.7,            10.5
1000.0,     0.25,      -1.0,           -7.3,         0.5,            9.4
1025.0,     0.21,      -1.1,           -7.0,         0.5,            9.8
1050.0,     0.18,      -1.2,           -7.3,         0.7,            10.0
1075.0,     0.16,      -1.0,           -7.1,         1.0,            10.8
1100.0,     0.14,      -1.2,           -7.2,         0.7,            10.5
1125.0,     0.12,      -1.1,           -7.6,         0.9,            11.1
1150.0,     0.1,       -1.2,           -8.1,         0.9,            10.8
1175.0,     0.09,      -1.4,           -8.3,         1.0,            11.4
1200.0,     0.08,      -1.5,           -8.5,         1.0,            11.6
1225.0,     0.07,      -1.5,           -8.7,         0.9,            11.9
1250.0,     0.06,      -1.5,           -9.1,         1.0,            12.2
1275.0,     0.05,      -1.3,           -9.3,         1.2,            12.7
1300.0,     0.04,      -1.7,           -9.8,         0.9,            12.8
1325.0,     0.04,      -1.8,           -12.6,        0.0,            11.3
1350.0,     0.03,      -1.2,           -5.4,         3.8,            20.1
1375.0,     0.03,      -2.3,           -12.0,        0.3,            13.0
1400.0,     0.02,      -1.8,           -11.7,        0.7,            13.4
1425.0,     0.02,      -1.3,           -11.9,        0.9,            14.3
1450.0,     0.02,      -2.0,           -12.3,        1.0,            14.3
1475.0,     0.02,      -1.8,           -12.3,        2.0,            16.2
1500.0,     0.01,      -1.7,           -12.5,        2.4,            17.3
