m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       13182.1,   -3.0,           -3.3,         0.66,           3.5
100.0,      5333.8,    -1.2,           -3.3,         0.49,           3.4
125.0,      2361.8,    -0.56,          -3.3,         0.29,           3.5
150.0,      1220.5,    -0.5,           -3.5,         0.19,           3.6
175.0,      697.03,    -0.6,           -3.6,         0.23,           3.8
200.0,      427.1,     -0.63,          -3.7,         0.4,            4.0
225.0,      275.85,    -0.7,           -3.9,         0.53,           4.1
250.0,      185.49,    -0.63,          -4.0,         0.63,           4.3
275.0,      128.86,    -0.6,           -4.2,         0.77,           4.5
300.0,      91.93,     -0.5,           -4.3,         0.87,           4.7
325.0,      67.06,     -0.43,          -4.4,         1.0,            4.9
350.0,      49.84,     -0.36,          -4.6,         1.1,            5.1
375.0,      37.66,     -0.39,          -4.7,         1.2,            5.3
400.0,      28.87,     -0.46,          -4.8,         1.3,            5.5
425.0,      22.39,     -0.46,          -5.0,         1.3,            5.7
450.0,      17.56,     -0.36,          -5.0,         1.4,            5.9
475.0,      13.89,     -0.36,          -5.2,         1.3,            6.2
500.0,      11.09,     -0.48,          -5.4,         1.2,            6.4
525.0,      8.92,      -0.48,          -5.3,         1.4,            6.7
550.0,      7.23,      -0.55,          -5.5,         1.3,            6.8
575.0,      5.89,      -0.63,          -5.8,         1.3,            6.9
600.0,      4.84,      -0.6,           -5.9,         1.3,            7.2
625.0,      3.98,      -0.75,          -5.9,         1.1,            7.4
650.0,      3.29,      -0.83,          -6.1,         0.95,           7.6
675.0,      2.75,      -0.93,          -6.2,         0.93,           7.7
700.0,      2.28,      -0.82,          -6.2,         1.2,            8.2
725.0,      1.92,      -0.83,          -6.7,         0.97,           8.1
750.0,      1.61,      -0.75,          -6.4,         1.2,            8.7
775.0,      1.35,      -0.82,          -6.7,         1.0,            8.7
800.0,      1.15,      -0.77,          -6.9,         0.98,           9.0
825.0,      0.96,      -0.77,          -6.9,         1.1,            9.2
850.0,      0.83,      -0.82,          -7.3,         1.0,            9.3
875.0,      0.7,       -0.8,           -7.4,         0.95,           9.5
900.0,      0.6,       -0.76,          -7.5,         0.93,           9.6
925.0,      0.51,      -0.97,          -7.9,         0.82,           9.8
950.0,      0.44,      -1.1,           -7.9,         0.94,           10.0
975.0,      0.38,      -1.4,           -8.3,         0.77,           11.0
1000.0,     0.32,      -1.0,           -8.5,         0.54,           10.0
1025.0,     0.27,      -1.1,           -8.4,         0.54,           11.0
1050.0,     0.24,      -1.2,           -8.8,         0.7,            11.0
1075.0,     0.21,      -1.1,           -8.1,         1.2,            12.0
1100.0,     0.18,      -1.2,           -8.7,         0.74,           11.0
1125.0,     0.16,      -1.1,           -9.2,         0.92,           12.0
1150.0,     0.13,      -1.2,           -9.7,         0.92,           12.0
1175.0,     0.12,      -1.3,           -10.0,        1.0,            13.0
1200.0,     0.1,       -1.4,           -10.0,        1.0,            13.0
1225.0,     0.09,      -1.4,           -10.0,        0.92,           13.0
1250.0,     0.08,      -1.4,           -11.0,        0.92,           14.0
1275.0,     0.07,      -1.2,           -11.0,        1.1,            14.0
1300.0,     0.05,      -1.5,           -11.0,        0.96,           14.0
1325.0,     0.05,      -1.6,           -13.0,        0.22,           13.0
1350.0,     0.03,      -1.2,           -5.4,         3.8,            20.0
1375.0,     0.03,      -2.3,           -12.0,        0.3,            13.0
1400.0,     0.02,      -1.8,           -12.0,        0.7,            13.0
1425.0,     0.02,      -1.3,           -12.0,        0.9,            14.0
1450.0,     0.02,      -2.0,           -12.0,        1.0,            14.0
1475.0,     0.02,      -1.8,           -12.0,        2.0,            16.0
1500.0,     0.01,      -1.7,           -12.0,        2.4,            17.0
