m χ̃ [GeV], xsec [fb],  -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
100.0,      8577.2,     -1.2,           -3.5,         0.0,            3.4
125.0,      3688.3,     -0.8,           -3.6,         0.0,            3.6
150.0,      1854.3,     -0.5,           -3.8,         0.0,            3.9
175.0,      1032.1,     -0.5,           -4.0,         0.0,            4.2
200.0,      617.47,     -0.5,           -4.2,         0.2,            4.5
225.0,      389.89,     -0.4,           -4.5,         0.0,            4.8
250.0,      256.76,     -0.4,           -4.8,         0.1,            5.1
275.0,      174.82,     -0.4,           -5.0,         0.3,            5.4
300.0,      122.3,      -0.4,           -5.2,         0.4,            5.8
325.0,      87.62,      -0.3,           -5.6,         0.4,            6.0
350.0,      63.96,      -0.3,           -5.7,         0.3,            6.6
375.0,      47.52,      -0.3,           -6.0,         0.3,            6.9
400.0,      35.83,      -0.3,           -6.3,         0.2,            7.1
425.0,      27.35,      -0.2,           -6.6,         0.1,            7.5
450.0,      21.12,      -0.2,           -6.9,         0.1,            7.8
475.0,      16.46,      -0.2,           -7.0,         0.0,            8.2
500.0,      12.95,      -0.0,           -7.2,         0.0,            8.6
525.0,      10.28,      -0.1,           -7.6,         0.0,            8.9
550.0,      8.21,       -0.1,           -7.8,         0.0,            9.3
575.0,      6.61,       -0.1,           -8.1,         0.0,            9.5
600.0,      5.35,       -0.0,           -8.4,         0.0,            9.8
625.0,      4.36,       -0.0,           -8.6,         0.0,            10.1
650.0,      3.57,       -0.3,           -8.8,         0.1,            10.7
675.0,      2.94,       -0.6,           -9.3,         0.0,            10.5
700.0,      2.42,       -0.6,           -9.3,         0.3,            11.2
725.0,      2.01,       -0.8,           -9.8,         0.3,            11.3
750.0,      1.67,       -1.0,           -10.0,        0.1,            11.6
775.0,      1.4,        -1.1,           -10.4,        0.1,            11.8
800.0,      1.17,       -1.2,           -10.8,        0.0,            12.1
825.0,      0.99,       -0.5,           -11.2,        0.1,            12.0
850.0,      0.83,       -0.7,           -11.5,        0.0,            12.3
875.0,      0.7,        -1.3,           -11.9,        0.1,            12.6
900.0,      0.6,        -0.5,           -12.3,        0.2,            12.8
925.0,      0.51,       -1.2,           -12.3,        0.1,            13.5
950.0,      0.43,       -0.5,           -12.3,        0.4,            14.4
975.0,      0.37,       -0.6,           -12.5,        0.7,            14.7
1000.0,     0.32,       -1.2,           -13.4,        0.4,            14.0
1025.0,     0.27,       -1.0,           -13.7,        0.5,            14.2
1050.0,     0.23,       -1.1,           -14.0,        0.0,            13.9
1075.0,     0.2,        -0.2,           -12.2,        1.2,            17.3
1100.0,     0.17,       -1.4,           -14.7,        0.5,            14.6
1125.0,     0.15,       -1.5,           -15.0,        0.5,            14.8
1150.0,     0.13,       -1.0,           -15.8,        0.5,            15.1
1175.0,     0.11,       -1.4,           -16.2,        0.4,            16.4
1200.0,     0.1,        -1.0,           -16.1,        0.5,            17.5
1225.0,     0.08,       -1.2,           -15.9,        0.6,            17.8
1250.0,     0.07,       -0.7,           -16.4,        0.6,            18.0
1275.0,     0.06,       -1.3,           -17.1,        0.6,            18.3
1300.0,     0.06,       -1.2,           -17.3,        0.6,            19.1
1325.0,     0.05,       -1.1,           -17.7,        0.5,            19.6
1350.0,     0.04,       -1.0,           -18.0,        0.6,            19.7
1375.0,     0.04,       -0.8,           -17.9,        0.9,            21.2
1400.0,     0.03,       -1.4,           -19.5,        0.4,            19.9
1425.0,     0.03,       -1.2,           -19.6,        0.7,            20.8
1450.0,     0.03,       -1.3,           -20.3,        0.5,            21.2
1475.0,     0.02,       -1.6,           -20.5,        0.7,            22.8
1500.0,     0.0192364,  -1.3,           -20.0,        2.7,            22.9
1525.0,     0.0169178,  -1.3,           -20.9,        2.9,            23.5
1550.0,     0.0148704,  -1.3,           -21.3,        3.2,            24.4
1575.0,     0.0130809,  -1.3,           -21.7,        3.4,            26.4
1600.0,     0.0115242,  -1.3,           -20.0,        2.4,            29.1
1625.0,     0.010244,   -2.8,           -21.9,        1.7,            27.3
1650.0,     0.00904192, -3.1,           -22.7,        1.7,            27.4
1675.0,     0.00798307, -3.3,           -23.0,        1.8,            27.7
1700.0,     0.00704854, -3.3,           -23.8,        1.8,            27.7
1725.0,     0.0062285,  -2.1,           -24.4,        1.8,            27.7
1750.0,     0.00550496, -2.1,           -25.0,        1.9,            28.0
1775.0,     0.00486808, -2.2,           -25.6,        2.0,            28.4
1800.0,     0.00430255, -2.2,           -26.3,        1.0,            30.6
1825.0,     0.00380603, -2.2,           -26.9,        0.7,            28.8
1850.0,     0.00336941, -2.3,           -27.8,        0.6,            28.7
1875.0,     0.00298298, -2.3,           -30.3,        0.6,            26.6
1900.0,     0.00261518, -1.4,           -28.6,        1.0,            31.2
1925.0,     0.00229797, -1.5,           -28.9,        1.9,            31.1
1950.0,     0.00202629, -1.6,           -28.8,        2.0,            34.0
1975.0,     0.00181102, -1.5,           -34.0,        1.0,            28.6
2000.0,     0.00160565, -3.8,           -35.7,        1.3,            29.3
