m χ̃ [GeV], xsec [fb],  -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
100.0,      13927.0,    -0.8,           -3.2,         0.0,            3.1
125.0,      6248.4,     -0.6,           -3.3,         0.0,            3.2
150.0,      3264.6,     -0.7,           -3.4,         0.0,            3.3
175.0,      1880.8,     -0.6,           -3.6,         0.0,            3.4
200.0,      1161.6,     -0.6,           -3.8,         0.2,            3.6
225.0,      755.82,     -0.5,           -4.0,         0.4,            3.7
250.0,      511.85,     -0.5,           -4.2,         0.4,            3.9
275.0,      357.99,     -0.5,           -4.4,         0.4,            4.0
300.0,      256.93,     -0.5,           -4.6,         0.4,            4.2
325.0,      188.55,     -0.5,           -4.8,         0.4,            4.3
350.0,      140.95,     -0.5,           -5.0,         0.4,            4.4
375.0,      107.02,     -0.4,           -5.2,         0.5,            4.6
400.0,      82.39,      -0.4,           -5.4,         0.4,            4.7
425.0,      64.17,      -0.4,           -5.6,         0.4,            4.9
450.0,      50.53,      -0.4,           -5.8,         0.4,            5.0
475.0,      40.14,      -0.3,           -5.9,         0.4,            5.2
500.0,      32.17,      -0.3,           -6.1,         0.3,            5.3
525.0,      25.99,      -0.4,           -6.4,         0.2,            5.4
550.0,      21.11,      -0.3,           -6.5,         0.1,            5.6
575.0,      17.26,      -0.2,           -6.6,         0.1,            5.8
600.0,      14.2,       -0.3,           -7.0,         0.1,            5.8
625.0,      11.74,      -0.3,           -7.2,         0.0,            6.0
650.0,      9.74,       -0.2,           -7.1,         0.0,            6.2
675.0,      8.12,       -0.2,           -7.4,         0.0,            6.3
700.0,      6.79,       -0.2,           -7.5,         0.0,            6.5
725.0,      5.7,        -0.3,           -7.6,         0.0,            6.7
750.0,      4.8,        -0.4,           -7.8,         0.0,            6.9
775.0,      4.06,       -0.5,           -8.1,         0.0,            7.0
800.0,      3.44,       -0.5,           -8.3,         0.1,            7.1
825.0,      2.92,       -0.6,           -8.5,         0.1,            7.3
850.0,      2.49,       -0.6,           -8.6,         0.1,            7.3
875.0,      2.12,       -0.7,           -9.2,         0.0,            7.5
900.0,      1.81,       -0.4,           -8.4,         0.2,            8.3
925.0,      1.55,       -0.3,           -8.7,         0.4,            8.2
950.0,      1.33,       -1.2,           -9.9,         0.0,            7.3
975.0,      1.15,       -1.4,           -10.5,        0.0,            7.2
1000.0,     0.98,       -0.6,           -9.0,         0.4,            9.2
1025.0,     0.85,       -0.9,           -9.2,         0.5,            9.4
1050.0,     0.73,       -0.9,           -8.5,         0.9,            10.0
1075.0,     0.64,       -1.6,           -10.5,        0.5,            8.6
1100.0,     0.55,       -1.2,           -11.1,        0.3,            8.7
1125.0,     0.48,       -1.0,           -10.7,        0.6,            9.9
1150.0,     0.41,       -0.7,           -11.3,        0.4,            9.1
1175.0,     0.36,       -0.1,           -8.2,         1.3,            13.2
1200.0,     0.31,       -1.0,           -11.5,        0.6,            10.2
1225.0,     0.27,       -0.7,           -11.4,        0.6,            10.7
1250.0,     0.24,       -0.8,           -11.6,        0.8,            11.0
1275.0,     0.21,       -0.9,           -12.4,        0.9,            10.9
1300.0,     0.18,       -0.8,           -12.6,        1.3,            11.2
1325.0,     0.16,       -0.9,           -12.4,        1.0,            11.8
1350.0,     0.14,       -0.9,           -12.9,        1.1,            11.8
1375.0,     0.12,       -0.6,           -12.1,        1.8,            13.1
1400.0,     0.1,        -0.2,           -11.9,        2.0,            13.5
1425.0,     0.09,       -0.5,           -12.7,        1.8,            13.8
1450.0,     0.08,       -0.5,           -12.9,        2.2,            14.5
1475.0,     0.07,       -0.9,           -15.0,        1.9,            13.4
1500.0,     0.0597115,  -1.4,           -14.2,        2.6,            15.0
1525.0,     0.0522203,  -1.4,           -14.8,        2.6,            15.0
1550.0,     0.0455892,  -1.5,           -15.1,        2.9,            16.4
1575.0,     0.0398661,  -1.5,           -14.3,        3.0,            16.8
1600.0,     0.0348743,  -1.6,           -14.8,        1.6,            18.7
1625.0,     0.0302986,  -1.7,           -13.2,        1.7,            22.1
1650.0,     0.0265033,  -1.7,           -14.1,        1.7,            21.5
1675.0,     0.0231864,  -1.7,           -15.6,        1.8,            22.3
1700.0,     0.0202908,  -1.8,           -18.0,        1.8,            23.1
1725.0,     0.0177606,  -2.6,           -18.2,        1.9,            22.6
1750.0,     0.0155431,  -2.7,           -18.9,        2.0,            23.0
1775.0,     0.0136071,  -2.7,           -19.6,        2.0,            23.7
1800.0,     0.0119185,  -2.8,           -20.5,        2.8,            24.5
1825.0,     0.0104378,  -2.9,           -20.7,        3.4,            23.8
1850.0,     0.0091365,  -2.9,           -21.3,        3.8,            25.4
1875.0,     0.0080001,  -2.9,           -18.6,        4.1,            26.8
1900.0,     0.00706487, -3.8,           -21.5,        3.0,            26.2
1925.0,     0.00622541, -4.4,           -20.6,        2.4,            25.9
1950.0,     0.00547282, -4.8,           -23.5,        2.4,            25.3
1975.0,     0.00479632, -4.8,           -21.1,        2.7,            27.6
2000.0,     0.00419527, -2.9,           -20.2,        2.7,            29.6
