m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
100.0,      22504.0,   -0.95,          -3.3,         0.0,            3.2
125.0,      9936.7,    -0.67,          -3.4,         0.0,            3.3
150.0,      5118.9,    -0.63,          -3.5,         0.0,            3.5
175.0,      2912.9,    -0.56,          -3.7,         0.0,            3.7
200.0,      1779.1,    -0.57,          -3.9,         0.2,            3.9
225.0,      1145.7,    -0.47,          -4.2,         0.26,           4.1
250.0,      768.61,    -0.47,          -4.4,         0.3,            4.3
275.0,      532.81,    -0.47,          -4.6,         0.37,           4.5
300.0,      379.23,    -0.47,          -4.8,         0.4,            4.7
325.0,      276.17,    -0.44,          -5.1,         0.4,            4.8
350.0,      204.91,    -0.44,          -5.2,         0.37,           5.1
375.0,      154.54,    -0.37,          -5.4,         0.44,           5.3
400.0,      118.22,    -0.37,          -5.7,         0.34,           5.4
425.0,      91.52,     -0.34,          -5.9,         0.31,           5.7
450.0,      71.65,     -0.34,          -6.1,         0.31,           5.8
475.0,      56.6,      -0.27,          -6.2,         0.28,           6.1
500.0,      45.12,     -0.21,          -6.4,         0.21,           6.2
525.0,      36.27,     -0.31,          -6.7,         0.14,           6.4
550.0,      29.32,     -0.24,          -6.9,         0.072,          6.6
575.0,      23.87,     -0.17,          -7.0,         0.072,          6.8
600.0,      19.55,     -0.22,          -7.4,         0.073,          6.9
625.0,      16.1,      -0.22,          -7.6,         0.0,            7.1
650.0,      13.31,     -0.23,          -7.6,         0.027,          7.4
675.0,      11.06,     -0.31,          -7.9,         0.0,            7.4
700.0,      9.21,      -0.31,          -8.0,         0.079,          7.7
725.0,      7.71,      -0.43,          -8.2,         0.078,          7.9
750.0,      6.47,      -0.55,          -8.4,         0.026,          8.1
775.0,      5.46,      -0.65,          -8.7,         0.026,          8.2
800.0,      4.61,      -0.68,          -8.9,         0.075,          8.4
825.0,      3.91,      -0.57,          -9.2,         0.1,            8.5
850.0,      3.32,      -0.62,          -9.3,         0.075,          8.5
875.0,      2.82,      -0.85,          -9.9,         0.025,          8.8
900.0,      2.41,      -0.42,          -9.4,         0.2,            9.4
925.0,      2.06,      -0.52,          -9.6,         0.33,           9.5
950.0,      1.76,      -1.0,           -10.0,        0.098,          9.0
975.0,      1.52,      -1.2,           -11.0,        0.17,           9.0
1000.0,     1.3,       -0.75,          -10.0,        0.4,            10.0
1025.0,     1.12,      -0.92,          -10.0,        0.5,            11.0
1050.0,     0.96,      -0.95,          -9.8,         0.68,           11.0
1075.0,     0.84,      -1.3,           -11.0,        0.67,           11.0
1100.0,     0.72,      -1.2,           -12.0,        0.35,           10.0
1125.0,     0.63,      -1.1,           -12.0,        0.58,           11.0
1150.0,     0.54,      -0.77,          -12.0,        0.42,           11.0
1175.0,     0.47,      -0.4,           -10.0,        1.1,            14.0
1200.0,     0.41,      -1.0,           -13.0,        0.58,           12.0
1225.0,     0.35,      -0.81,          -12.0,        0.6,            12.0
1250.0,     0.31,      -0.78,          -13.0,        0.75,           13.0
1275.0,     0.27,      -0.99,          -13.0,        0.83,           13.0
1300.0,     0.24,      -0.9,           -14.0,        1.1,            13.0
1325.0,     0.21,      -0.95,          -14.0,        0.88,           14.0
1350.0,     0.18,      -0.92,          -14.0,        0.99,           14.0
1375.0,     0.16,      -0.65,          -14.0,        1.6,            15.0
1400.0,     0.13,      -0.48,          -14.0,        1.6,            15.0
1425.0,     0.12,      -0.67,          -14.0,        1.5,            16.0
1450.0,     0.11,      -0.72,          -15.0,        1.7,            16.0
1475.0,     0.09,      -1.1,           -16.0,        1.6,            15.0
1500.0,     0.078948,  -1.4,           -16.0,        2.6,            17.0
1525.0,     0.069138,  -1.4,           -16.0,        2.7,            17.0
1550.0,     0.06046,   -1.5,           -17.0,        3.0,            18.0
1575.0,     0.052947,  -1.5,           -16.0,        3.1,            19.0
1600.0,     0.046398,  -1.5,           -16.0,        1.8,            21.0
1625.0,     0.040543,  -2.0,           -15.0,        1.7,            23.0
1650.0,     0.035545,  -2.1,           -16.0,        1.7,            23.0
1675.0,     0.031169,  -2.1,           -17.0,        1.8,            24.0
1700.0,     0.027339,  -2.2,           -19.0,        1.8,            24.0
1725.0,     0.023989,  -2.5,           -20.0,        1.9,            24.0
1750.0,     0.021048,  -2.5,           -20.0,        2.0,            24.0
1775.0,     0.018475,  -2.6,           -21.0,        2.0,            25.0
1800.0,     0.016221,  -2.6,           -22.0,        2.3,            26.0
1825.0,     0.014244,  -2.7,           -22.0,        2.7,            25.0
1850.0,     0.012506,  -2.7,           -23.0,        2.9,            26.0
1875.0,     0.010983,  -2.7,           -22.0,        3.1,            27.0
1900.0,     0.00968,   -3.2,           -23.0,        2.5,            28.0
1925.0,     0.0085234, -3.6,           -23.0,        2.3,            27.0
1950.0,     0.0074991, -3.9,           -25.0,        2.3,            28.0
1975.0,     0.0066073, -3.9,           -25.0,        2.2,            28.0
2000.0,     0.0058009, -3.1,           -24.0,        2.3,            30.0
