m χ̃ [GeV], xsec [fb],  -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
100.0,      8961.1,     -1.1,           -3.6,         0.0,            3.6
125.0,      3878.6,     -0.8,           -3.8,         0.0,            3.6
150.0,      1958.8,     -0.5,           -3.9,         0.0,            3.8
175.0,      1094.1,     -0.5,           -4.1,         0.1,            3.9
200.0,      656.69,     -0.5,           -4.3,         0.2,            4.1
225.0,      415.69,     -0.5,           -4.5,         0.2,            4.3
250.0,      274.3,      -0.5,           -4.6,         0.2,            4.4
275.0,      187.1,      -0.4,           -4.8,         0.3,            4.6
300.0,      131.12,     -0.4,           -4.9,         0.5,            4.8
325.0,      94.06,      -0.3,           -5.2,         0.4,            4.8
350.0,      68.76,      -0.3,           -5.1,         0.3,            5.3
375.0,      51.18,      -0.3,           -5.5,         0.3,            5.2
400.0,      38.61,      -0.3,           -5.5,         0.3,            5.4
425.0,      29.49,      -0.2,           -5.7,         0.0,            5.6
450.0,      22.81,      -0.3,           -6.2,         0.2,            5.5
475.0,      17.79,      -0.2,           -5.9,         0.0,            5.9
500.0,      14.01,      -0.1,           -6.0,         0.3,            6.2
525.0,      11.13,      -0.2,           -6.1,         0.0,            6.4
550.0,      8.91,       -0.3,           -6.4,         0.0,            6.5
575.0,      7.17,       -0.5,           -6.4,         0.0,            6.9
600.0,      5.81,       -0.1,           -6.4,         0.1,            7.2
625.0,      4.73,       -0.4,           -6.6,         0.0,            7.2
650.0,      3.88,       -0.4,           -6.7,         0.0,            7.5
675.0,      3.19,       -0.6,           -7.1,         0.1,            7.8
700.0,      2.63,       -0.2,           -6.8,         0.3,            8.3
725.0,      2.19,       -0.7,           -7.1,         0.0,            8.6
750.0,      1.82,       -0.8,           -7.6,         0.0,            8.7
775.0,      1.52,       -0.5,           -7.5,         0.1,            9.1
800.0,      1.28,       -0.8,           -8.0,         0.2,            8.8
825.0,      1.07,       -0.5,           -8.0,         0.3,            8.8
850.0,      0.9,        -0.5,           -8.2,         0.3,            10.1
875.0,      0.76,       -1.0,           -8.5,         0.1,            10.3
900.0,      0.65,       -1.5,           -9.0,         0.2,            10.9
925.0,      0.55,       -1.3,           -8.8,         0.2,            11.3
950.0,      0.47,       -1.5,           -9.4,         0.4,            11.6
975.0,      0.4,        -1.7,           -10.2,        0.4,            12.0
1000.0,     0.34,       -1.6,           -10.4,        0.5,            12.1
1025.0,     0.29,       -1.3,           -10.2,        0.7,            13.0
1050.0,     0.25,       -1.5,           -10.5,        0.7,            13.5
1075.0,     0.22,       -1.1,           -10.6,        0.7,            14.1
1100.0,     0.19,       -1.1,           -11.6,        0.6,            14.2
1125.0,     0.16,       -1.1,           -12.0,        0.5,            14.6
1150.0,     0.14,       -1.2,           -11.8,        0.5,            15.6
1175.0,     0.12,       -0.9,           -12.6,        0.9,            15.5
1200.0,     0.1,        -1.3,           -12.8,        0.9,            16.5
1225.0,     0.09,       -1.3,           -13.5,        0.9,            16.9
1250.0,     0.08,       -1.3,           -14.1,        0.8,            17.6
1275.0,     0.07,       -1.4,           -14.5,        1.0,            18.2
1300.0,     0.06,       -1.6,           -14.0,        1.1,            19.3
1325.0,     0.05,       -1.9,           -15.1,        1.1,            19.2
1350.0,     0.05,       -0.6,           -14.8,        0.9,            20.4
1375.0,     0.04,       -0.5,           -17.0,        0.2,            20.3
1400.0,     0.03,       -0.9,           -16.9,        0.4,            21.8
1425.0,     0.03,       -1.0,           -17.0,        0.3,            22.5
1450.0,     0.03,       -1.3,           -18.3,        0.5,            22.6
1475.0,     0.02,       -1.5,           -18.2,        1.1,            23.4
1500.0,     0.019957,   -2.0,           -18.2,        1.6,            23.8
1525.0,     0.0174699,  -2.1,           -18.7,        1.6,            24.5
1550.0,     0.0152999,  -2.2,           -19.2,        1.7,            25.2
1575.0,     0.0135224,  -2.1,           -19.9,        2.2,            26.9
1600.0,     0.0117497,  -1.5,           -20.0,        2.0,            27.3
1625.0,     0.0103025,  -2.3,           -20.5,        1.8,            28.3
1650.0,     0.00903611, -2.4,           -21.0,        5.5,            30.9
1675.0,     0.00792775, -2.4,           -20.9,        1.9,            32.1
1700.0,     0.00714025, -2.7,           -25.4,        2.3,            26.8
1725.0,     0.00610664, -2.5,           -22.7,        2.0,            30.3
1750.0,     0.00536083, -2.6,           -23.2,        2.1,            30.9
1775.0,     0.00470688, -2.7,           -23.7,        2.1,            31.7
1800.0,     0.00413321, -2.7,           -24.3,        2.2,            32.4
1825.0,     0.00364245, -3.1,           -23.9,        1.8,            33.7
1850.0,     0.00330822, -3.9,           -27.9,        0.7,            32.3
1875.0,     0.00291906, -3.0,           -29.4,        2.9,            33.0
1900.0,     0.00254405, -2.9,           -29.1,        2.1,            36.7
1925.0,     0.00216326, -1.8,           -24.8,        2.9,            45.6
1950.0,     0.00189888, -3.3,           -27.8,        2.2,            40.1
1975.0,     0.00167329, -1.8,           -27.3,        1.9,            40.1
2000.0,     0.00146377, -3.6,           -29.1,        1.8,            40.6
