m χ̃ [GeV], xsec [fb],  -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
100.0,      13884.0,    -1.2,           -3.2,         0.6,            3.4
125.0,      6260.4,     -0.6,           -3.2,         0.4,            3.4
150.0,      3285.6,     -0.5,           -3.3,         0.3,            3.5
175.0,      1902.3,     -0.6,           -3.4,         0.2,            3.6
200.0,      1180.0,     -0.6,           -3.4,         0.4,            3.8
225.0,      770.73,     -0.7,           -3.6,         0.6,            3.8
250.0,      523.65,     -0.6,           -3.6,         0.7,            4.0
275.0,      367.41,     -0.6,           -3.8,         0.8,            4.1
300.0,      264.51,     -0.5,           -3.9,         0.9,            4.2
325.0,      194.59,     -0.4,           -4.0,         1.0,            4.4
350.0,      145.77,     -0.3,           -4.1,         1.1,            4.5
375.0,      110.96,     -0.3,           -4.2,         1.2,            4.7
400.0,      85.62,      -0.3,           -4.3,         1.3,            4.9
425.0,      66.88,      -0.4,           -4.4,         1.3,            5.1
450.0,      52.74,      -0.4,           -4.5,         1.4,            5.3
475.0,      41.98,      -0.3,           -4.6,         1.3,            5.4
500.0,      33.71,      -0.4,           -4.7,         1.3,            5.6
525.0,      27.25,      -0.4,           -4.6,         1.4,            5.9
550.0,      22.2,       -0.5,           -4.9,         1.4,            6.0
575.0,      18.19,      -0.6,           -5.0,         1.3,            6.1
600.0,      14.98,      -0.6,           -5.0,         1.3,            6.4
625.0,      12.39,      -0.8,           -5.1,         1.0,            6.5
650.0,      10.3,       -0.8,           -5.3,         0.9,            6.7
675.0,      8.59,       -0.8,           -5.3,         0.9,            6.8
700.0,      7.18,       -0.7,           -5.3,         1.2,            7.2
725.0,      6.04,       -0.8,           -5.9,         1.1,            7.0
750.0,      5.08,       -0.7,           -5.4,         1.3,            7.9
775.0,      4.29,       -0.8,           -5.6,         1.2,            7.9
800.0,      3.63,       -0.7,           -5.8,         1.1,            8.2
825.0,      3.08,       -0.7,           -5.8,         1.1,            8.4
850.0,      2.62,       -0.8,           -6.1,         1.1,            8.4
875.0,      2.24,       -0.8,           -6.2,         0.9,            8.6
900.0,      1.92,       -0.6,           -6.0,         1.0,            8.8
925.0,      1.64,       -0.8,           -6.7,         0.9,            8.8
950.0,      1.41,       -1.1,           -6.9,         0.8,            8.8
975.0,      1.21,       -1.4,           -7.1,         0.7,            10.6
1000.0,     1.04,       -1.0,           -7.4,         0.6,            9.4
1025.0,     0.9,        -1.1,           -7.1,         0.5,            9.7
1050.0,     0.77,       -1.2,           -7.3,         0.7,            10.0
1075.0,     0.66,       -1.0,           -7.2,         1.1,            10.8
1100.0,     0.57,       -1.1,           -7.2,         0.7,            10.6
1125.0,     0.5,        -1.1,           -7.7,         0.9,            11.1
1150.0,     0.43,       -1.2,           -8.1,         0.8,            10.8
1175.0,     0.37,       -1.4,           -8.2,         1.0,            11.5
1200.0,     0.32,       -1.5,           -8.5,         1.0,            11.6
1225.0,     0.28,       -1.6,           -8.8,         0.9,            11.9
1250.0,     0.24,       -1.5,           -9.1,         1.0,            12.2
1275.0,     0.21,       -1.4,           -9.3,         1.2,            12.7
1300.0,     0.18,       -1.7,           -9.8,         0.9,            12.8
1325.0,     0.16,       -1.9,           -12.5,        0.1,            11.4
1350.0,     0.13,       -1.2,           -5.5,         3.7,            20.0
1375.0,     0.12,       -1.9,           -11.3,        0.5,            13.6
1400.0,     0.1,        -1.7,           -11.6,        0.7,            13.4
1425.0,     0.09,       -1.3,           -12.0,        0.9,            14.1
1450.0,     0.08,       -2.1,           -12.2,        1.0,            14.3
1475.0,     0.07,       -1.8,           -12.3,        2.0,            16.1
1500.0,     0.0584941,  -2.3,           -12.8,        1.8,            15.9
1525.0,     0.050882,   -2.4,           -13.3,        1.9,            16.4
1550.0,     0.0442648,  -2.4,           -13.9,        1.9,            16.9
1575.0,     0.0382355,  -2.6,           -15.5,        1.4,            17.1
1600.0,     0.0335069,  -4.8,           -15.7,        2.0,            17.5
1625.0,     0.0291533,  -2.6,           -15.8,        2.1,            18.1
1650.0,     0.025364,   -2.7,           -17.0,        1.0,            19.1
1675.0,     0.0220669,  -2.8,           -19.0,        2.2,            18.6
1700.0,     0.0186373,  -3.0,           -19.1,        1.4,            23.9
1725.0,     0.0166997,  -3.1,           -18.7,        2.3,            21.2
1750.0,     0.0145246,  -3.0,           -19.5,        2.3,            22.1
1775.0,     0.0126312,  -3.1,           -20.4,        2.4,            22.9
1800.0,     0.0109832,  -3.1,           -21.3,        2.5,            23.8
1825.0,     0.00949805, -2.8,           -23.7,        3.0,            24.1
1850.0,     0.00800207, -2.2,           -26.0,        4.2,            27.0
1875.0,     0.00691565, -7.5,           -27.8,        2.7,            31.3
1900.0,     0.00607454, -2.2,           -24.4,        3.7,            28.7
1925.0,     0.00541098, -4.8,           -29.2,        2.7,            25.9
1950.0,     0.00469803, -3.4,           -29.0,        3.3,            31.0
1975.0,     0.00406287, -2.0,           -31.8,        4.4,            31.7
2000.0,     0.00354198, -3.6,           -33.7,        1.2,            30.6
