m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
100.0,      22845.0,   -1.2,           -3.4,         0.36,           3.5
125.0,      10139.0,   -0.68,          -3.4,         0.25,           3.5
150.0,      5244.4,    -0.5,           -3.5,         0.19,           3.6
175.0,      2996.4,    -0.56,          -3.7,         0.16,           3.7
200.0,      1836.7,    -0.56,          -3.7,         0.33,           3.9
225.0,      1186.4,    -0.63,          -3.9,         0.46,           4.0
250.0,      797.95,    -0.57,          -3.9,         0.53,           4.1
275.0,      554.51,    -0.53,          -4.1,         0.63,           4.3
300.0,      395.63,    -0.47,          -4.2,         0.77,           4.4
325.0,      288.65,    -0.37,          -4.4,         0.8,            4.5
350.0,      214.53,    -0.3,           -4.4,         0.84,           4.8
375.0,      162.14,    -0.3,           -4.6,         0.92,           4.9
400.0,      124.23,    -0.3,           -4.7,         0.99,           5.1
425.0,      96.37,     -0.34,          -4.8,         0.9,            5.3
450.0,      75.55,     -0.37,          -5.0,         1.0,            5.4
475.0,      59.77,     -0.27,          -5.0,         0.91,           5.5
500.0,      47.72,     -0.31,          -5.1,         1.0,            5.8
525.0,      38.38,     -0.34,          -5.0,         0.99,           6.0
550.0,      31.11,     -0.44,          -5.3,         1.0,            6.1
575.0,      25.36,     -0.57,          -5.4,         0.93,           6.3
600.0,      20.79,     -0.46,          -5.4,         0.96,           6.6
625.0,      17.12,     -0.69,          -5.5,         0.72,           6.7
650.0,      14.18,     -0.69,          -5.7,         0.65,           6.9
675.0,      11.78,     -0.75,          -5.8,         0.68,           7.1
700.0,      9.81,      -0.57,          -5.7,         0.96,           7.5
725.0,      8.23,      -0.77,          -6.2,         0.81,           7.4
750.0,      6.9,       -0.73,          -6.0,         0.96,           8.1
775.0,      5.81,      -0.72,          -6.1,         0.91,           8.2
800.0,      4.91,      -0.73,          -6.4,         0.87,           8.4
825.0,      4.15,      -0.65,          -6.4,         0.89,           8.5
850.0,      3.52,      -0.72,          -6.6,         0.9,            8.8
875.0,      3.0,       -0.85,          -6.8,         0.7,            9.0
900.0,      2.57,      -0.83,          -6.8,         0.8,            9.3
925.0,      2.19,      -0.93,          -7.2,         0.72,           9.4
950.0,      1.88,      -1.2,           -7.5,         0.7,            9.5
975.0,      1.61,      -1.5,           -7.9,         0.63,           11.0
1000.0,     1.38,      -1.1,           -8.1,         0.58,           10.0
1025.0,     1.19,      -1.1,           -7.9,         0.55,           11.0
1050.0,     1.02,      -1.3,           -8.1,         0.7,            11.0
1075.0,     0.88,      -1.0,           -8.1,         1.0,            12.0
1100.0,     0.76,      -1.1,           -8.3,         0.67,           11.0
1125.0,     0.66,      -1.1,           -8.7,         0.8,            12.0
1150.0,     0.57,      -1.2,           -9.0,         0.73,           12.0
1175.0,     0.49,      -1.3,           -9.3,         0.98,           12.0
1200.0,     0.42,      -1.5,           -9.5,         0.98,           13.0
1225.0,     0.37,      -1.5,           -9.9,         0.9,            13.0
1250.0,     0.32,      -1.4,           -10.0,        0.95,           14.0
1275.0,     0.28,      -1.4,           -11.0,        1.1,            14.0
1300.0,     0.24,      -1.7,           -11.0,        0.95,           14.0
1325.0,     0.21,      -1.9,           -13.0,        0.34,           13.0
1350.0,     0.18,      -1.0,           -8.1,         2.9,            20.0
1375.0,     0.16,      -1.5,           -13.0,        0.43,           15.0
1400.0,     0.13,      -1.5,           -13.0,        0.63,           15.0
1425.0,     0.12,      -1.2,           -13.0,        0.75,           16.0
1450.0,     0.11,      -1.9,           -14.0,        0.86,           17.0
1475.0,     0.09,      -1.7,           -14.0,        1.8,            18.0
1500.0,     0.078451,  -2.2,           -14.0,        1.7,            18.0
1525.0,     0.068352,  -2.3,           -15.0,        1.8,            18.0
1550.0,     0.059565,  -2.3,           -15.0,        1.8,            19.0
1575.0,     0.051758,  -2.5,           -17.0,        1.6,            20.0
1600.0,     0.045257,  -3.9,           -17.0,        2.0,            20.0
1625.0,     0.039456,  -2.5,           -17.0,        2.0,            21.0
1650.0,     0.0344,    -2.6,           -18.0,        2.2,            22.0
1675.0,     0.029995,  -2.7,           -20.0,        2.1,            22.0
1700.0,     0.025778,  -2.9,           -21.0,        1.6,            25.0
1725.0,     0.022806,  -2.9,           -20.0,        2.2,            24.0
1750.0,     0.019885,  -2.9,           -20.0,        2.2,            24.0
1775.0,     0.017338,  -3.0,           -21.0,        2.3,            25.0
1800.0,     0.015116,  -3.0,           -22.0,        2.4,            26.0
1825.0,     0.01314,   -2.9,           -24.0,        2.7,            27.0
1850.0,     0.01131,   -2.7,           -27.0,        3.2,            29.0
1875.0,     0.0098347, -6.2,           -28.0,        2.8,            32.0
1900.0,     0.0086186, -2.4,           -26.0,        3.2,            31.0
1925.0,     0.0075742, -3.9,           -28.0,        2.8,            32.0
1950.0,     0.0065969, -3.4,           -29.0,        3.0,            34.0
1975.0,     0.0057362, -1.9,           -30.0,        3.7,            34.0
2000.0,     0.0050057, -3.6,           -32.0,        1.4,            34.0
