m l̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
50.0,       4104.9,    -1.6,           -3.6,         1.4,            3.1
100.0,      270.79,    -0.4,           -3.4,         0.0,            3.3
150.0,      63.34,     -0.3,           -3.9,         0.1,            3.4
200.0,      21.81,     -0.4,           -4.4,         0.1,            3.6
250.0,      9.21,      -0.4,           -5.0,         0.3,            3.9
300.0,      4.43,      -0.3,           -5.4,         0.1,            4.2
350.0,      2.33,      -0.3,           -5.9,         0.0,            4.6
400.0,      1.31,      -0.3,           -6.5,         0.0,            5.0
450.0,      0.77,      -0.3,           -6.8,         0.0,            5.4
500.0,      0.47,      -0.4,           -7.1,         0.0,            5.9
