mass [GeV], xsec [pb],    unc. (down), unc. (up)
50.0,       3.991,        -3.9,      2.2
80.0,       0.591,        -2.0,      1.6
100.0,      0.2679,       -1.8,      1.6
120.0,      0.1406,       -1.6,      1.6
125.0,      0.1217,       -1.6,      1.6
140.0,      0.08115,      -1.6,      1.6
150.0,      0.06331,      -1.6,      1.5
160.0,      0.05005,      -1.6,      1.6
175.0,      0.03607,      -1.8,      1.8
180.0,      0.03251,      -1.8,      1.8
200.0,      0.02194,      -1.9,      1.9
220.0,      0.01529,      -2.0,      2.0
225.0,      0.01403,      -2.0,      2.1
240.0,      0.01094,      -2.0,      2.1
250.0,      0.00933,      -1.9,      2.0
260.0,      0.007997,     -2.0,      2.1
275.0,      0.006403,     -2.0,      2.2
280.0,      0.005957,     -2.0,      2.2
300.0,      0.004508,     -2.1,      2.2
320.0,      0.00346,      -2.2,      2.3
340.0,      0.002687,     -2.4,      2.5
360.0,      0.00211,      -2.5,      2.7
380.0,      0.001672,     -2.7,      2.8
400.0,      0.001337,     -2.8,      3.0
440.0,      8.738000e-04, -3.1,      3.2
500.0,      4.836000e-04, -3.3,      3.4
600.0,      1.981000e-04, -3.6,      3.6
700.0,      8.836000e-05, -3.8,      3.8
800.0,      4.190000e-05, -4.1,      4.1
900.0,      2.082000e-05, -4.4,      4.4
1000.0,     1.072000e-05, -5.0,      4.9
