mass [GeV], xsec [pb],    unc. (down), unc. (up)
50.0,       1.377,        -3.9,      2.3
80.0,       0.2104,       -2.3,      1.9
100.0,      0.09779,      -2.1,      1.9
120.0,      0.05214,      -2.0,      2.0
125.0,      0.04524,      -2.1,      2.1
140.0,      0.0304,       -2.1,      2.1
150.0,      0.02381,      -2.1,      2.1
160.0,      0.01891,      -2.2,      2.2
175.0,      0.01368,      -2.2,      2.2
180.0,      0.01234,      -2.2,      2.2
200.0,      0.008372,     -2.2,      2.2
220.0,      0.005858,     -2.1,      2.1
225.0,      0.00538,      -2.1,      2.2
240.0,      0.004204,     -2.1,      2.2
250.0,      0.003591,     -2.1,      2.2
260.0,      0.003082,     -2.2,      2.3
275.0,      0.002472,     -2.0,      2.1
280.0,      0.002302,     -2.2,      2.3
300.0,      0.001746,     -2.2,      2.3
320.0,      0.001342,     -2.2,      2.3
340.0,      0.001045,     -2.2,      2.4
360.0,      8.215000e-04, -2.4,      2.5
380.0,      6.522000e-04, -2.5,      2.7
400.0,      5.221000e-04, -2.7,      2.8
440.0,      3.422000e-04, -2.8,      2.9
500.0,      1.901000e-04, -3.0,      3.0
600.0,      7.829000e-05, -3.6,      3.6
700.0,      3.511000e-05, -3.8,      3.8
800.0,      1.674000e-05, -4.5,      4.5
900.0,      8.355000e-06, -5.2,      5.1
1000.0,     4.326000e-06, -5.5,      5.5
