m l̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
50.0,       1377.6,    -1.6,           -3.7,         1.4,            3.3
100.0,      96.51,     -0.3,           -4.0,         0.0,            3.6
150.0,      23.32,     -0.3,           -4.5,         0.1,            3.7
200.0,      8.15,      -0.4,           -4.9,         0.1,            3.9
250.0,      3.47,      -0.4,           -5.3,         0.2,            4.2
300.0,      1.68,      -0.3,           -5.7,         0.2,            4.5
350.0,      0.89,      -0.3,           -6.1,         0.0,            4.9
400.0,      0.5,       -0.4,           -6.7,         0.0,            5.2
450.0,      0.3,       -0.3,           -7.0,         0.0,            5.7
500.0,      0.18,      -0.3,           -7.4,         0.0,            6.2
