m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       6661.2,    -3.0,           -2.9,         0.6,            2.9
100.0,      2850.6,    -1.2,           -2.9,         0.5,            2.9
125.0,      1294.7,    -0.6,           -3.0,         0.2,            3.1
150.0,      677.25,    -0.5,           -3.1,         0.4,            3.2
175.0,      388.92,    -0.6,           -3.2,         0.6,            3.4
200.0,      238.78,    -0.6,           -3.3,         0.8,            3.6
225.0,      154.21,    -0.6,           -3.5,         0.9,            3.8
250.0,      103.59,    -0.6,           -3.6,         0.8,            4.0
275.0,      71.78,     -0.6,           -3.7,         0.9,            4.1
300.0,      51.04,     -0.5,           -3.8,         1.0,            4.4
325.0,      37.11,     -0.4,           -4.0,         1.1,            4.6
350.0,      27.49,     -0.3,           -4.2,         1.2,            4.8
375.0,      20.69,     -0.4,           -4.3,         1.3,            5.0
400.0,      15.79,     -0.5,           -4.4,         1.2,            5.3
425.0,      12.21,     -0.5,           -4.6,         1.2,            5.3
450.0,      9.53,      -0.5,           -4.7,         1.3,            5.7
475.0,      7.52,      -0.5,           -4.8,         1.2,            5.9
500.0,      5.98,      -0.6,           -5.0,         1.2,            6.1
525.0,      4.79,      -0.6,           -5.1,         1.3,            6.4
550.0,      3.87,      -0.6,           -5.2,         1.2,            6.4
575.0,      3.14,      -0.5,           -5.2,         1.3,            6.7
600.0,      2.57,      -0.5,           -5.4,         1.2,            7.0
625.0,      2.11,      -0.5,           -5.6,         1.2,            7.2
650.0,      1.74,      -0.8,           -5.9,         1.1,            7.0
675.0,      1.45,      -0.8,           -5.8,         1.2,            7.4
700.0,      1.2,       -0.8,           -5.9,         1.2,            7.7
725.0,      1.01,      -0.7,           -6.2,         0.9,            7.7
750.0,      0.85,      -1.0,           -6.4,         0.7,            7.7
775.0,      0.71,      -0.8,           -6.4,         0.9,            8.1
800.0,      0.6,       -1.0,           -6.5,         1.0,            8.1
825.0,      0.51,      -0.9,           -6.5,         1.2,            8.5
850.0,      0.43,      -0.8,           -6.6,         1.0,            8.6
875.0,      0.37,      -0.8,           -6.9,         1.1,            8.6
900.0,      0.31,      -0.9,           -6.9,         1.0,            9.0
925.0,      0.27,      -0.8,           -7.0,         1.1,            9.2
950.0,      0.23,      -0.8,           -7.3,         0.9,            9.1
975.0,      0.2,       -0.9,           -7.2,         1.0,            9.5
1000.0,     0.17,      -1.0,           -7.6,         1.0,            9.4
1025.0,     0.15,      -1.0,           -7.7,         1.0,            9.6
1050.0,     0.13,      -1.0,           -8.0,         1.0,            9.6
1075.0,     0.11,      -1.2,           -8.1,         1.0,            10.0
1100.0,     0.09,      -1.2,           -8.4,         1.0,            10.0
1125.0,     0.08,      -1.1,           -8.5,         1.0,            10.3
1150.0,     0.07,      -1.1,           -8.5,         1.0,            10.6
1175.0,     0.06,      -1.2,           -9.2,         0.9,            10.1
1200.0,     0.05,      -1.0,           -8.8,         1.1,            10.7
1225.0,     0.05,      -1.1,           -9.1,         1.1,            10.9
1250.0,     0.04,      -1.0,           -9.3,         1.2,            11.1
1275.0,     0.04,      -0.9,           -9.0,         1.1,            11.9
1300.0,     0.03,      -1.0,           -9.9,         0.8,            11.4
1325.0,     0.03,      -1.0,           -9.7,         1.2,            11.9
1350.0,     0.02,      -1.1,           -9.9,         1.2,            12.2
1375.0,     0.02,      -1.4,           -10.1,        1.3,            11.9
1400.0,     0.02,      -1.1,           -11.1,        1.1,            11.6
1425.0,     0.02,      -1.2,           -11.4,        1.2,            12.1
1450.0,     0.01,      -1.3,           -10.8,        1.2,            12.6
1475.0,     0.01,      -1.4,           -10.8,        1.4,            13.5
1500.0,     0.01,      -1.4,           -11.0,        1.8,            14.1
