m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       6760.1,    -3.1,           -3.0,         0.7,            3.3
100.0,      2913.4,    -1.2,           -3.0,         0.5,            3.3
125.0,      1331.6,    -0.6,           -3.0,         0.3,            3.4
150.0,      700.19,    -0.5,           -3.1,         0.5,            3.4
175.0,      403.95,    -0.6,           -3.3,         0.7,            3.5
200.0,      248.98,    -0.7,           -3.4,         0.9,            3.6
225.0,      161.32,    -0.7,           -3.4,         1.0,            3.8
250.0,      108.69,    -0.6,           -3.6,         0.9,            3.8
275.0,      75.54,     -0.6,           -3.6,         1.0,            3.9
300.0,      53.87,     -0.5,           -3.7,         1.2,            4.0
325.0,      39.26,     -0.4,           -3.8,         1.3,            4.2
350.0,      29.15,     -0.3,           -3.9,         1.3,            4.3
375.0,      21.99,     -0.4,           -4.1,         1.3,            4.4
400.0,      16.82,     -0.4,           -4.2,         1.3,            4.5
425.0,      13.02,     -0.4,           -4.1,         1.3,            4.7
450.0,      10.19,     -0.4,           -4.2,         1.3,            4.8
475.0,      8.05,      -0.5,           -4.3,         1.4,            5.0
500.0,      6.42,      -0.6,           -4.4,         1.4,            5.1
525.0,      5.16,      -0.7,           -4.5,         1.2,            5.1
550.0,      4.17,      -0.7,           -4.6,         1.3,            5.1
575.0,      3.39,      -0.5,           -4.6,         1.2,            5.5
600.0,      2.77,      -0.5,           -4.6,         1.2,            6.0
625.0,      2.28,      -0.8,           -4.8,         1.1,            5.9
650.0,      1.89,      -0.8,           -4.5,         1.2,            6.1
675.0,      1.57,      -0.7,           -4.8,         1.3,            6.2
700.0,      1.31,      -0.6,           -5.0,         0.9,            6.2
725.0,      1.09,      -0.9,           -5.0,         0.8,            6.4
750.0,      0.92,      -0.6,           -4.8,         1.0,            7.1
775.0,      0.77,      -0.8,           -5.1,         1.1,            7.1
800.0,      0.65,      -0.7,           -4.9,         1.1,            7.9
825.0,      0.55,      -0.8,           -5.1,         1.0,            8.0
850.0,      0.47,      -0.9,           -5.1,         0.9,            7.3
875.0,      0.4,       -0.8,           -5.3,         0.9,            7.4
900.0,      0.34,      -0.9,           -6.2,         1.2,            8.4
925.0,      0.29,      -1.0,           -5.5,         0.9,            8.7
950.0,      0.25,      -1.2,           -5.7,         0.9,            8.7
975.0,      0.21,      -1.3,           -5.2,         1.1,            8.8
1000.0,     0.19,      -1.2,           -5.9,         0.9,            9.3
1025.0,     0.16,      -1.2,           -6.2,         1.0,            9.6
1050.0,     0.14,      -1.1,           -6.2,         1.0,            10.0
1075.0,     0.12,      -1.0,           -6.5,         1.0,            10.2
1100.0,     0.1,       -1.2,           -6.6,         1.1,            10.6
1125.0,     0.09,      -1.0,           -6.8,         1.2,            11.0
1150.0,     0.08,      -1.1,           -7.1,         1.2,            11.3
1175.0,     0.07,      -1.1,           -7.8,         1.1,            11.2
1200.0,     0.06,      -1.2,           -7.6,         1.2,            11.8
1225.0,     0.05,      -1.3,           -7.9,         1.2,            12.1
1250.0,     0.04,      -1.3,           -8.1,         1.3,            12.7
1275.0,     0.04,      -1.3,           -8.3,         1.4,            13.1
1300.0,     0.03,      -1.4,           -9.1,         1.1,            13.0
1325.0,     0.03,      -1.5,           -9.4,         0.7,            13.7
1350.0,     0.03,      -1.4,           -9.5,         0.8,            14.1
1375.0,     0.02,      -1.0,           -9.9,         1.5,            14.5
1400.0,     0.02,      -1.2,           -10.5,        1.3,            14.4
1425.0,     0.02,      -1.6,           -10.3,        1.6,            15.1
1450.0,     0.02,      -2.0,           -10.2,        1.6,            16.0
1475.0,     0.01,      -1.5,           -10.4,        1.8,            16.5
1500.0,     0.01,      -1.4,           -10.6,        1.9,            17.1
