m χ̃ [GeV], xsec [fb],  -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
100.0,      11457.2,    -0.3,           -3.0,         0.1,            2.9
125.0,      5000.44,    -0.4,           -3.0,         0.3,            3.0
150.0,      2558.47,    -0.5,           -3.1,         0.4,            3.1
175.0,      1448.48,    -0.6,           -3.2,         0.5,            3.3
200.0,      880.476,    -0.6,           -3.4,         0.5,            3.5
225.0,      564.313,    -0.6,           -3.5,         0.5,            3.7
250.0,      376.84,     -0.6,           -3.7,         0.5,            3.9
275.0,      260.084,    -0.6,           -3.9,         0.5,            4.0
300.0,      184.398,    -0.6,           -4.0,         0.5,            4.2
325.0,      133.714,    -0.5,           -4.2,         0.5,            4.5
350.0,      98.838,     -0.5,           -4.3,         0.4,            4.6
375.0,      74.251,     -0.5,           -4.5,         0.4,            4.9
400.0,      56.582,     -0.5,           -4.6,         0.4,            5.0
425.0,      43.655,     -0.5,           -4.8,         0.4,            5.3
450.0,      34.053,     -0.5,           -4.9,         0.3,            5.4
475.0,      26.82,      -0.4,           -5.1,         0.3,            5.6
500.0,      21.309,     -0.4,           -5.2,         0.3,            5.8
525.0,      17.063,     -0.4,           -5.3,         0.2,            6.0
550.0,      13.76,      -0.3,           -5.5,         0.2,            6.2
575.0,      11.166,     -0.3,           -5.6,         0.2,            6.4
600.0,      9.115,      -0.3,           -5.7,         0.1,            6.6
625.0,      7.48,       -0.3,           -5.9,         0.1,            6.8
650.0,      6.169,      -0.2,           -6.0,         0.1,            7.0
675.0,      5.111,      -0.2,           -6.1,         0.0,            7.2
700.0,      4.253,      -0.2,           -6.3,         0.0,            7.3
725.0,      3.551,      -0.1,           -6.4,         0.0,            7.5
750.0,      2.977,      -0.1,           -6.6,         0.0,            7.6
775.0,      2.503,      -0.1,           -6.7,         0.0,            7.8
800.0,      2.112,      -0.2,           -6.8,         0.0,            8.0
825.0,      1.786,      -0.2,           -7.0,         0.0,            8.1
850.0,      1.516,      -0.2,           -7.2,         0.0,            8.2
875.0,      1.288,      -0.1,           -7.0,         0.0,            8.8
900.0,      1.097,      -0.3,           -7.2,         0.2,            8.9
925.0,      0.939,      -0.5,           -7.6,         0.1,            8.5
950.0,      0.804,      -0.4,           -7.8,         0.0,            8.6
975.0,      0.689,      -0.3,           -7.7,         0.2,            9.2
1000.0,     0.592,      -0.5,           -7.9,         0.2,            9.3
1025.0,     0.51,       -0.5,           -8.0,         0.2,            9.4
1050.0,     0.44,       -0.7,           -8.6,         0.1,            9.1
1075.0,     0.38,       -0.5,           -8.3,         0.3,            9.7
1100.0,     0.328,      -0.6,           -8.5,         0.2,            10.0
1125.0,     0.284,      -0.5,           -8.5,         0.4,            10.5
1150.0,     0.247,      -0.7,           -8.8,         0.4,            10.5
1175.0,     0.214,      -0.6,           -9.0,         0.4,            10.4
1200.0,     0.187,      -0.8,           -9.2,         0.4,            10.5
1225.0,     0.162,      -0.8,           -9.4,         0.4,            10.7
1250.0,     0.142,      -0.8,           -9.5,         0.5,            11.0
1275.0,     0.123,      -0.8,           -9.4,         0.5,            11.9
1300.0,     0.108,      -0.9,           -10.2,        0.4,            11.2
1325.0,     0.094,      -0.9,           -10.1,        0.5,            11.7
1350.0,     0.083,      -0.9,           -10.0,        0.7,            12.0
1375.0,     0.072,      -1.0,           -10.0,        0.8,            12.3
1400.0,     0.064,      -1.0,           -10.5,        0.7,            11.9
1425.0,     0.056,      -1.0,           -11.1,        0.7,            12.4
1450.0,     0.049,      -1.4,           -11.2,        0.4,            12.7
1475.0,     0.043,      -1.4,           -11.4,        0.7,            12.9
1500.0,     0.0375752,  -1.5,           -11.1,        1.2,            13.4
1525.0,     0.0330747,  -1.5,           -11.4,        1.3,            13.7
1550.0,     0.0291198,  -1.5,           -11.4,        1.4,            14.5
1575.0,     0.025671,   -1.5,           -11.2,        1.5,            15.2
1600.0,     0.0226399,  -1.5,           -11.7,        1.9,            16.0
1625.0,     0.0200683,  -2.4,           -13.2,        1.6,            14.8
1650.0,     0.0177339,  -2.5,           -12.9,        1.6,            15.5
1675.0,     0.0156837,  -2.6,           -12.9,        1.7,            15.6
1700.0,     0.0138762,  -2.2,           -13.3,        1.7,            15.1
1725.0,     0.0122833,  -2.0,           -13.6,        1.7,            15.6
1750.0,     0.0108791,  -2.1,           -13.7,        1.8,            16.4
1775.0,     0.00964131, -2.1,           -14.6,        1.8,            16.6
1800.0,     0.0085226,  -1.8,           -13.7,        1.9,            17.4
1825.0,     0.00756007, -2.2,           -14.0,        1.5,            18.2
1850.0,     0.00670845, -2.3,           -14.7,        1.3,            18.4
1875.0,     0.00595739, -2.3,           -15.1,        1.2,            18.0
1900.0,     0.00528231, -2.2,           -15.9,        1.5,            22.1
1925.0,     0.00467608, -1.8,           -15.7,        1.9,            19.8
1950.0,     0.0041441,  -1.6,           -15.5,        1.9,            25.8
1975.0,     0.00375435, -3.4,           -23.5,        0.6,            13.9
2000.0,     0.00336575, -5.2,           -27.7,        1.2,            12.9
