m χ̃ [GeV], xsec [fb],  -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
100.0,      11743.0,    -1.1,           -3.0,         0.0,            3.3
125.0,      5169.4,     -0.7,           -3.1,         0.0,            3.3
150.0,      2662.6,     -0.7,           -3.1,         0.0,            3.3
175.0,      1514.2,     -0.6,           -3.2,         0.0,            3.4
200.0,      923.92,     -0.5,           -3.3,         0.2,            3.5
225.0,      594.17,     -0.5,           -3.5,         0.3,            3.6
250.0,      398.07,     -0.5,           -3.6,         0.3,            3.7
275.0,      275.57,     -0.5,           -3.7,         0.3,            3.8
300.0,      195.9,      -0.4,           -3.8,         0.5,            3.9
325.0,      142.37,     -0.4,           -3.9,         0.6,            4.1
350.0,      105.49,     -0.4,           -4.0,         0.5,            4.2
375.0,      79.43,      -0.4,           -4.1,         0.4,            4.3
400.0,      60.62,      -0.4,           -4.1,         0.4,            4.5
425.0,      46.87,      -0.4,           -4.4,         0.2,            4.4
450.0,      36.6,       -0.4,           -4.5,         0.3,            4.6
475.0,      28.86,      -0.3,           -4.4,         0.2,            4.8
500.0,      22.95,      -0.3,           -4.5,         0.2,            4.9
525.0,      18.4,       -0.1,           -4.4,         0.1,            5.1
550.0,      14.85,      -0.2,           -4.5,         0.0,            5.3
575.0,      12.06,      -0.2,           -4.5,         0.0,            5.5
600.0,      9.85,       -0.2,           -4.6,         0.0,            5.7
625.0,      8.1,        -0.2,           -4.7,         0.0,            5.8
650.0,      6.69,       -0.2,           -4.9,         0.0,            5.7
675.0,      5.54,       -0.4,           -4.7,         0.0,            6.1
700.0,      4.61,       -0.4,           -5.0,         0.0,            6.2
725.0,      3.85,       -0.7,           -4.9,         0.0,            6.3
750.0,      3.22,       -0.7,           -4.9,         0.0,            6.8
775.0,      2.71,       -0.6,           -5.0,         0.0,            7.0
800.0,      2.29,       -0.5,           -5.3,         0.0,            7.3
825.0,      1.93,       -0.7,           -5.3,         0.1,            6.9
850.0,      1.64,       -0.9,           -5.4,         0.1,            7.4
875.0,      1.39,       -0.6,           -5.6,         0.2,            7.7
900.0,      1.19,       -0.7,           -5.4,         0.3,            8.3
925.0,      1.01,       -1.0,           -5.5,         0.4,            8.5
950.0,      0.87,       -1.2,           -5.7,         0.3,            8.6
975.0,      0.74,       -1.0,           -4.6,         0.8,            6.9
1000.0,     0.64,       -1.3,           -5.8,         0.5,            9.2
1025.0,     0.55,       -1.0,           -6.1,         0.5,            9.5
1050.0,     0.47,       -1.0,           -6.1,         0.5,            9.7
1075.0,     0.41,       -1.1,           -6.7,         0.5,            9.6
1100.0,     0.35,       -1.1,           -6.6,         0.5,            10.1
1125.0,     0.31,       -1.0,           -6.7,         0.5,            10.5
1150.0,     0.27,       -1.0,           -6.8,         0.7,            11.0
1175.0,     0.23,       -1.5,           -7.6,         0.5,            10.8
1200.0,     0.2,        -1.4,           -7.3,         0.8,            11.2
1225.0,     0.17,       -1.4,           -7.6,         0.8,            11.5
1250.0,     0.15,       -1.4,           -7.8,         0.9,            12.0
1275.0,     0.13,       -1.4,           -7.9,         0.9,            12.3
1300.0,     0.12,       -1.9,           -9.6,         0.1,            12.0
1325.0,     0.1,        -1.6,           -8.2,         0.4,            13.0
1350.0,     0.09,       -1.7,           -8.4,         0.4,            13.0
1375.0,     0.08,       -1.1,           -8.6,         1.0,            13.8
1400.0,     0.07,       -1.1,           -9.2,         1.2,            14.4
1425.0,     0.06,       -1.5,           -9.8,         1.1,            14.4
1450.0,     0.05,       -1.7,           -9.1,         1.8,            15.1
1475.0,     0.05,       -1.9,           -9.6,         1.7,            15.3
1500.0,     0.0396777,  -1.9,           -10.0,        1.5,            15.6
1525.0,     0.0348504,  -2.0,           -10.3,        1.6,            16.0
1550.0,     0.0306274,  -2.0,           -10.5,        1.6,            16.4
1575.0,     0.0269641,  -2.1,           -10.9,        1.7,            16.6
1600.0,     0.0236914,  -1.6,           -11.0,        1.7,            17.5
1625.0,     0.0208521,  -2.2,           -11.4,        1.7,            18.0
1650.0,     0.0183612,  -2.2,           -11.6,        2.7,            19.0
1675.0,     0.0161748,  -2.3,           -11.8,        1.8,            19.4
1700.0,     0.0143338,  -2.2,           -13.2,        1.8,            18.5
1725.0,     0.0125662,  -2.4,           -12.8,        1.9,            19.6
1750.0,     0.0110821,  -2.4,           -13.1,        1.9,            20.3
1775.0,     0.00977625, -2.5,           -13.5,        2.0,            20.5
1800.0,     0.00862671, -2.5,           -13.8,        2.0,            21.0
1825.0,     0.00762398, -2.7,           -14.0,        1.9,            21.6
1850.0,     0.0068088,  -3.0,           -15.8,        1.6,            20.4
1875.0,     0.00603353, -4.0,           -16.6,        2.4,            20.7
1900.0,     0.00531043, -2.8,           -16.8,        2.2,            21.6
1925.0,     0.00464231, -1.8,           -15.0,        2.2,            24.5
1950.0,     0.00410234, -2.9,           -16.3,        2.0,            24.7
1975.0,     0.00363257, -2.1,           -15.9,        1.9,            25.6
2000.0,     0.00320795, -3.1,           -17.1,        2.1,            26.0
